 Lista de Imóveis da Caixa;;Data de geração:;08/05/2026;;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso
;;;;;;;;;;;
1,44442E+12;RJ ;NOVA IGUACU ;JARDIM MONTE CASTELO ;RUA VALERIA GUIMARAES, N. 121, QD 10 LT 16 ;158.053,95;248.000,00;36.27;Sim;Casa, 69.03 de área total, 69.03 de área privativa, 99.79 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417220262
1,44441E+12;RJ ;NOVA IGUACU ;VILA FATIMA ;RUA MARIA DO CEU, N. 108, LT 24 QD A ;224.334,63;352.000,00;36.27;Sim;Casa, 110.75 de área total, 110.75 de área privativa, 569.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407622350
1,44442E+12;RJ ;RESENDE ;MORADA DA COLINA ;RUA WANDIR DE CARVALHO, N. 365, QD A1 LT 30 ;691.746,34;1.085.408,47;36.27;Sim;Casa, 208.40 de área total, 208.40 de área privativa, 303.83 de área do terreno,  1 qto(s), 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417128943
1,44441E+12;RJ ;RIO BONITO ;JACUBA ; RUA 09, N. 260, CASA 03 LT 13 QD 12 ;173.986,80;273.000,00;36.27;Sim;Casa, 90.30 de área total, 90.30 de área privativa, 180.32 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407184590
1,44442E+12;RJ ;SAO GONCALO ;SAO JORGE ;RUA EMILIO RIBAS, N. 115, QD H LT 18-A ;159.965,89;251.000,00;36.27;Sim;Casa, 172.12 de área total, 172.12 de área privativa, 178.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418293450
1,44442E+12;RJ ;SAO GONCALO ;MUTUAPIRA ;RUA REIS DE CARVALHO, N. 35, CS BASE LT 105 ;173.986,80;273.000,00;36.27;Não;Casa, 97.00 de área total, 97.00 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419177356
1,44442E+12;RJ ;SAO GONCALO ;JARDIM CATARINA ; RUA SAFIRA, N. 1531, Apto 201, CASA BASE ;188.645,03;296.000,00;36.27;Não;Apartamento, 185.84 de área total, 185.84 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419066562
1,44442E+12;RJ ;SAO PEDRO DA ALDEIA ;SAO MATEUS ;RUA SILVESTRE GOMES, N. SN, CASA 24  AREA B ;164.487,58;258.094,91;36.27;Sim;Casa, 57.74 de área total, 57.74 de área privativa, 115.60 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420918720
1,44442E+12;RJ ;SAO PEDRO DA ALDEIA ;BALNEARIO DAS CONCHAS ; RUA 52, N. SN, QUADRA 41 LOTE 947 ;221.148,06;347.000,00;36.27;Sim;Casa, 118.57 de área total, 118.57 de área privativa, 348.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415830101
10277338;RJ ;SAO PEDRO DA ALDEIA ;PRAIA LINDA ;RUA DOS CARANGUEIJOS, N. S/N, QD I, LT 10 ;214.774,92;337.000,00;36.27;Sim;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10277338
10279397;RJ ;SAO PEDRO DA ALDEIA ;PRAIA LINDA ;RODOVIA AMARAL PEIXOTO, N. S/N, QD I, LT 05 ;214.774,92;337.000,00;36.27;Sim;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10279397
10279398;RJ ;SAO PEDRO DA ALDEIA ;PRAIA LINDA ;RODOVIA AMARAL PEIXOTO, N. S/N, QD I, LT 07 ;214.774,92;337.000,00;36.27;Sim;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10279398
10279402;RJ ;SAO PEDRO DA ALDEIA ;PRAIA LINDA ;RODOVIA AMARAL PEIXOTO, N. S/N, QD I, LT 06 ;214.774,92;337.000,00;36.27;Sim;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10279402
10279403;RJ ;SAO PEDRO DA ALDEIA ;PRAIA LINDA ;RODOVIA AMARAL PEIXOTO, N. S/N, QD I, LT 09 ;214.774,92;337.000,00;36.27;Sim;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10279403
1,7877E+12;RJ ;NOVA IGUACU ;PARQUE ROSARIO ;ESTRADA DOUTOR PLINIO CASADO, N. 2450, Apto 1202, BL 01 ;144.767,36;230.000,00;37.06;Sim;Apartamento, 0.00 de área total, 41.63 de área privativa, 0.00 de área do terreno, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701045570
1,7877E+12;RJ ;NOVA IGUACU ;PARQUE ROSARIO ;ESTRADA DOUTOR PLINIO CASADO, N. 2450, Apto 2007, BL 02 ;122.737,54;195.000,00;37.06;Não;Apartamento, 41.38 de área total, 41.38 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701146317
1,7877E+12;RJ ;NOVA IGUACU ;PRATA ; E DOUTOR PLINIO CASADO, N. 2450, Apto 1605,  BLOCO 1 ;128.402,35;204.000,00;37.06;Não;Apartamento, 41.63 de área total, 41.63 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701139345
1,44441E+12;RJ ;NOVA IGUACU ;VALVERDE ;RUA MONICA, N. SN, QD U LT 03 ;130.626,33;207.533,36;37.06;Sim;Terreno, 0.00 de área total, 0.00 de área privativa, 200.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407768257
1,44441E+12;RJ ;RIO DAS OSTRAS ;RESIDENCIAL PRAIA ANCORA ;AVENIDA FLOR DO CAMPO, N. 136, Apto 203, LT 31 QD 77 ;116.191,54;184.600,00;37.06;Não;Apartamento, 59.98 de área total, 53.74 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405554764
1,44442E+12;RJ ;RIO DAS OSTRAS ;BALNEARIO DAS GARCAS ;AV. TRES, N. SN, LT 01 QD 01 ;125.884,66;200.000,00;37.06;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 715.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419746075
1,44442E+12;RJ ;SAO GONCALO ;JARDIM CATARINA ;RUA GONCALVES CHAVES, N. 33, CASA BASE APTO 202 ;123.681,68;196.500,00;37.06;Não;Casa, 88.35 de área total, 88.35 de área privativa, 59.74 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419809964
8,44442E+12;RJ ;SAO GONCALO ;VISTA ALEGRE ; R OSWALDES MENDONÇA CAMPOS, N. 15, CASA 4 ;130.290,62;207.000,00;37.06;Sim;Casa, 75.33 de área total, 75.33 de área privativa, 114.18 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420394886
1,4444E+12;RJ ;SAO PEDRO DA ALDEIA ;PONTA GROSSA ; RUA PORTO ATLANTICO, N. SN,  CASA B1 LOTE  A ;125.884,66;200.000,00;37.06;Não;Casa, 91.63 de área total, 91.63 de área privativa, 227.12 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402194619
1,55554E+12;RJ ;NOVA IGUACU ;RANCHO NOVO ; ESTRADA DEPUTADO DARCÍLIO AYRES RAUNHETTI, N. 175, Apto 203, BLOCO 01 ;195.735,15;315.000,00;37.87;Sim;Apartamento, 53.07 de área total, 53.07 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555536849999
1,4444E+12;RJ ;RIO BONITO ;CIDADE NOVA ;R FRANCISCO ALVES DE MENDO, N. 185, ;534.388,04;860.000,00;37.87;Não;Casa, 0.00 de área total, 3690.00 de área privativa, 369.00 de área do terreno,  4 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444403958108
